year,awards_name,winner,winner_details
2003,Best Actress - Comedy or Musical,Renée Zellweger,Chicago
2003,Best Actress - Drama,Nicole Kidman,The Hours
2004,Best Director ,Peter Jackson,The Lord of the Rings: The Return of the King
2004,Best Actor - Comedy or Musical,Bill Murray,Lost in Translation
2004,Best Actor - Drama,Sean Penn,Mystic River
2004,Best Actress - Comedy or Musical,Diane Keaton,Something's Gotta Give
2004,Best Actress - Drama,Charlize Theron,Monster
2005,Best Director ,Clint Eastwood,Million Dollar Baby
2005,Best Actor - Comedy or Musical,Jamie Foxx,Ray
2005,Best Actor - Drama,Leonardo DiCaprio,The Aviator
2005,Best Actress - Comedy or Musical,Annette Bening,Being Julia
2005,Best Actress - Drama,Hilary Swank,Million Dollar Baby
2006,Best Director ,Ang Lee,Brokeback Mountain
2006,Best Actor - Comedy or Musical,Joaquin Phoenix,Walk the Line
2006,Best Actor - Drama,Philip Seymour Hoffman,Capote
2006,Best Actress - Comedy or Musical,Reese Witherspoon,Walk the Line
2006,Best Actress - Drama,Felicity Huffman,Transamerica
2007,Best Director ,Martin Scorsese,The Departed
2007,Best Actor - Comedy or Musical,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
2007,Best Actor - Drama,Forest Whitaker,The Last King of Scotland
2007,Best Actress - Comedy or Musical,Meryl Streep,The Devil Wears Prada
2007,Best Actress - Drama,Helen Mirren,The Queen
2008,Best Director ,Julian Schnabel,The Diving Bell and the Butterfly
2008,Best Actor - Comedy or Musical,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street
2008,Best Actor - Drama,Daniel Day-Lewis,There Will Be Blood
2008,Best Actress - Comedy or Musical,Marion Cotillard,La Vie En Rose
2008,Best Actress - Drama,Julie Christie,Away from Her
2009,Best Director ,Danny Boyle,Slumdog Millionaire
2009,Best Actor - Comedy or Musical,Colin Farrell,In Bruges
2009,Best Actor - Drama,Mickey Rourke,The Wrestler
2009,Best Actress - Comedy or Musical,Sally Hawkins,Happy-Go-Lucky
2009,Best Actress - Drama,Kate Winslet,Revolutionary Road
2010,Best Director ,James Cameron,Avatar
2010,Best Actor - Comedy or Musical,Robert Downey Jr.,Sherlock Holmes
2010,Best Actor - Drama,Jeff Bridges,Crazy Heart
2010,Best Actress - Comedy or Musical,Meryl Streep,Julie & Julia
2010,Best Actress - Drama,Sandra Bullock,The Blind Side
2011,Best Director ,David Fincher,The Social Network
2011,Best Actor - Comedy or Musical,Paul Giamatti,Barney's Version
2011,Best Actor - Drama,Colin Firth,The King's Speech
2011,Best Actress - Comedy or Musical,Annette Bening,The Kids Are All Right
2011,Best Actress - Drama,Natalie Portman,Black Swan
2012,Best Director ,Martin Scorsese,Hugo
2012,Best Actor - Comedy or Musical,Jean Dujardin,The Artist
2012,Best Actor - Drama,George Clooney,The Descendants
2012,Best Actress - Comedy or Musical,Michelle Williams,My Week with Marilyn
2012,Best Actress - Drama,Meryl Streep,The Iron Lady
2013,Best Director ,Ben Affleck,Argo
2013,Best Actor - Comedy or Musical,Hugh Jackman,Les Misérables
2013,Best Actor - Drama,Daniel Day-Lewis,Lincoln
2013,Best Actress - Comedy or Musical,Jennifer Lawrence,Silver Linings Playbook
2013,Best Actress - Drama,Jessica Chastain,Zero Dark Thirty
2014,Best Director ,Alfonso Cuarón,Gravity
2014,Best Actor - Comedy or Musical,Leonardo DiCaprio,The Wolf of Wall Street
2014,Best Actor - Drama,Matthew McConaughey,Dallas Buyers Club
2014,Best Actress - Comedy or Musical,Amy Adams,American Hustle
2014,Best Actress - Drama,Cate Blanchett,Blue Jasmine
2015,Best Director ,Richard Linklater,Boyhood
2015,Best Actor - Comedy or Musical,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
2015,Best Actor - Drama,Eddie Redmayne,The Theory of Everything
2015,Best Actress - Comedy or Musical,Amy Adams,Big Eyes
2015,Best Actress - Drama,Julianne Moore,Still Alice
2016,Best Director ,Alejandro G. Iñárritu,The Revenant
2016,Best Actor - Comedy or Musical,Matt Damon,The Martian
2016,Best Actor - Drama,Leonardo DiCaprio,The Revenant
2016,Best Actress - Comedy or Musical,Jennifer Lawrence,Joy
2016,Best Actress - Drama,Brie Larson,Room
2017,Best Director ,Damien Chazelle,La La Land
2017,Best Actor - Drama,Casey Affleck,Manchester by the Sea
2017,Best Actor - Musical or Comedy,Ryan Gosling,La La Land
2017,Best Actress - Drama,Isabelle Huppert,Elle
2017,Best Actress - Musical or Comedy,Emma Stone,La La Land
2018,Best Director ,Guillermo del Toro,The Shape of Water
2018,Best Actor - Drama,Gary Oldman,Darkest Hour
2018,Best Actor - Musical or Comedy,James Franco,The Disaster Artist
2018,Best Actress - Drama,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
2018,Best Actress - Musical or Comedy,Saoirse Ronan,Lady Bird
2019,Best Director ,Alfonso Cuarón,Roma
2019,Best Actor - Drama,Rami Malek,Bohemian Rhapsody
2019,Best Actor - Musical or Comedy,Christian Bale,Vice
2019,Best Actress - Drama,Glenn Close,The Wife
2019,Best Actress - Musical or Comedy,Olivia Colman,The Favourite
2020,Best Director ,Sam Mendes,1917
2020,Best Actor - Drama,Joaquin Phoenix,Joker
2020,Best Actor - Musical or Comedy,Taron Egerton,Rocketman
2020,Best Actress - Drama,Renée Zellweger,Judy
2020,Best Actress - Musical or Comedy,Awkwafina,The Farewell
2021,Best Director ,Chloé Zhao,Nomadland
2021,Best Actor - Drama,Chadwick Boseman,Ma Rainey's Black Bottom
2021,Best Actor - Musical or Comedy,Sacha Baron Cohen,Borat Subsequent Moviefilm
2021,Best Actress - Drama,Andra Day,The United States vs. Billie Holiday
2021,Best Actress - Musical or Comedy,Rosamund Pike,I Care a Lot
2022,Best Actor - Drama,Will Smith,King Richard
2022,Best Actor - Musical or Comedy,Andrew Garfield,"tick, tick...BOOM!"
2022,Best Actress - Drama,Nicole Kidman,Being the Ricardos
2022,Best Actress - Musical or Comedy,Rachel Zegler,West Side Story
