web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration_hour,duration_min,duration,imdb_rating,num_vote,num_vote_clean,release_date,release_date_country,date,day,month,year,gross_us_can,gross_opening_weekend,gross_worldwide
1647980114-3633,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Love,Love,https://www.imdb.com/title/tt3774694/?ref_=adv_li_tt,2015,TV-MA,2h,15m,135,6.1,56K,56000,"July 15, 2015 (France)",France,15-Jul-15,15,Jul,2015,"$249,083 ","$29,301 ","$861,057 "
1647975712-2670,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Epic Movie,Epic Movie,https://www.imdb.com/title/tt0799949/?ref_=adv_li_tt,2007,PG-13,1h,26m,86,2.4,105K,105000,"May 10, 2007 (Thailand)",Thailand,10-May-07,10,May,2007,"$39,739,367 ","$18,612,544 ","$87,238,158 "
1647970600-1577,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Avengers,The Avengers,https://www.imdb.com/title/tt0848228/?ref_=adv_li_tt,2012,G,2h,23m,143,8.1,1.3M,1300000,"May 1, 2012 (Thailand)",Thailand,01-May-12,01,May,2012,"$623,357,910 ","$207,438,708 ","$1,518,815,515 "
1647977223-3002,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Touch of Evil,Touch of Evil,https://www.imdb.com/title/tt0052311/?ref_=adv_li_tt,1958,PG-13,1h,35m,95,8,103K,103000,"April 23, 1958 (Turkey)",Turkey,23-Apr-58,23,Apr,1958,"$2,247,465 ","$70,725 ","$2,285,063 "
1647975145-2547,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Halloween II,Halloween II,https://www.imdb.com/title/tt0082495/?ref_=adv_li_tt,1981,R,1h,32m,92,6.5,87K,87000,"October 30, 1981 (United States)",United States,30-Oct-81,30,Oct,1981,"$25,533,818 ","$7,446,508 ","$25,533,818 "
1647977309-3021,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Fundamentals of Caring,The Fundamentals of Caring,https://www.imdb.com/title/tt2452386/?ref_=adv_li_tt,2016,TV-MA,1h,37m,97,7.3,71K,71000,"June 24, 2016 (United States)",United States,24-Jun-16,24,Jun,2016,null,null,null
1647979226-3440,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",WarGames,WarGames,https://www.imdb.com/title/tt0086567/?ref_=adv_li_tt,1983,PG,1h,54m,114,7.1,98K,98000,"June 3, 1983 (United States)",United States,03-Jun-83,03,Jun,1983,"$79,567,667 ","$6,227,804 ","$79,567,667 "
1647967770-974,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Hulk,Hulk,https://www.imdb.com/title/tt0286716/?ref_=adv_li_tt,2003,G,2h,18m,138,5.6,263K,263000,"June 20, 2003 (United States)",United States,20-Jun-03,20,Jun,2003,"$132,177,234 ","$62,128,420 ","$245,285,165 "
1647974683-2445,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Race to Witch Mountain,Race to Witch Mountain,https://www.imdb.com/title/tt1075417/?ref_=adv_li_tt,2009,PG,1h,38m,98,5.7,59K,59000,"April 9, 2009 (Thailand)",Thailand,09-Apr-09,09,Apr,2009,"$67,172,594 ","$24,402,214 ","$106,387,141 "
1647978369-3252,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",That Thing You Do!,That Thing You Do!,https://www.imdb.com/title/tt0117887/?ref_=adv_li_tt,1996,PG,1h,48m,108,7,68K,68000,"October 4, 1996 (United States)",United States,04-Oct-96,04,Oct,1996,"$25,857,416 ","$6,208,595 ","$34,585,416 "
