,title,pcom
3007,Tarzan,Walt Disney Animation Studios
3008,State of Play,Universal Pictures
3008,State of Play,Working Title Films
3008,State of Play,StudioCanal
3009,25th Hour,25th Hour Productions
3009,25th Hour,40 Acres & A Mule Filmworks
3009,25th Hour,Gamut Films
3010,Defiance,Paramount Vantage
3010,Defiance,Grosvenor Park Productions
3010,Defiance,The Bedford Falls Company
3011,Encanto,Walt Disney Animation Studios
3011,Encanto,Walt Disney Pictures
3012,Sherlock Holmes,Warner Bros.
3012,Sherlock Holmes,Village Roadshow Pictures
3012,Sherlock Holmes,Silver Pictures
3013,Baywatch,Paramount Pictures
3013,Baywatch,Uncharted
3013,Baywatch,Shanghai Film Group
3014,Horrible Bosses 2,BenderSpink
3014,Horrible Bosses 2,New Line Cinema
3014,Horrible Bosses 2,RatPac Entertainment
3015,Joker,Warner Bros.
3015,Joker,Village Roadshow Pictures
3015,Joker,Village Roadshow Pictures
3016,Ted,Universal Pictures
3016,Ted,Media Rights Capital (MRC)
3016,Ted,Fuzzy Door Productions
3017,The Conjuring 2,New Line Cinema
3017,The Conjuring 2,RatPac-Dune Entertainment
3017,The Conjuring 2,The Safran Company
3018,Lara Croft Tomb Raider: The Cradle of Life,Paramount Pictures
3018,Lara Croft Tomb Raider: The Cradle of Life,Mutual Film Company
3018,Lara Croft Tomb Raider: The Cradle of Life,British Broadcasting Corporation (BBC)
3019,The Darjeeling Limited,Fox Searchlight Pictures
3019,The Darjeeling Limited,Collage Cinemagraphique
3019,The Darjeeling Limited,American Empirical Pictures
3020,Raging Bull,Chartoff-Winkler Productions
3021,The NeverEnding Story,Constantin Film
3021,The NeverEnding Story,Bavaria Studios
3021,The NeverEnding Story,Westdeutscher Rundfunk (WDR)
3022,Baby Driver,TriStar Pictures
3022,Baby Driver,Media Rights Capital (MRC)
3022,Baby Driver,Working Title Films
3023,Lawless,The Weinstein Company
3023,Lawless,Yucaipa Films
3023,Lawless,Revolt Films
3024,This Is 40,Apatow Productions
3024,This Is 40,Forty Productions
3025,John Carter,Walt Disney Pictures
3026,Frozen II,Walt Disney Animation Studios
3026,Frozen II,Walt Disney Pictures
3027,300: Rise of an Empire,Warner Bros.
3027,300: Rise of an Empire,Legendary Entertainment
3027,300: Rise of an Empire,Cruel & Unusual Films
3028,Les Misérables,Universal Pictures
3028,Les Misérables,Working Title Films
3028,Les Misérables,Cameron Mackintosh Ltd.
3029,The Terminal,Dreamworks Pictures
3029,The Terminal,Amblin Entertainment
3029,The Terminal,Parkes/MacDonald Image Nation
3030,Once Upon a Time... In Hollywood,Columbia Pictures
3030,Once Upon a Time... In Hollywood,Bona Film Group
3030,Once Upon a Time... In Hollywood,Heyday Films
3031,Ocean's Eleven,Warner Bros.
3031,Ocean's Eleven,Village Roadshow Pictures
3031,Ocean's Eleven,NPV Entertainment
3032,Orphan,Dark Castle Entertainment
3032,Orphan,Appian Way
3032,Orphan,Studio Babelsberg Motion Pictures
3033,Coming to America,Paramount Pictures
3033,Coming to America,Eddie Murphy Productions
3034,Finding Dory,Pixar Animation Studios
3034,Finding Dory,Walt Disney Pictures
3035,The Road.1,Dimension Films
3035,The Road.1,2929 Productions
3035,The Road.1,Nick Wechsler Productions
3036,Foxcatcher,Annapurna Pictures
3036,Foxcatcher,Full Nelson Entertainment
3036,Foxcatcher,Likely Story
3037,The Campaign,Warner Bros.
3037,The Campaign,Gary Sanchez Productions
3037,The Campaign,Everyman Pictures
3038,Sleepless in Seattle,TriStar Pictures
3039,The Negotiator,New Regency Productions
3039,The Negotiator,Mandeville Films
3039,The Negotiator,New Regency Productions
3040,Traffic,Compulsion Inc.
3040,Traffic,Initial Entertainment Group (IEG)
3040,Traffic,Splendid Medien AG
3041,Watchmen,Warner Bros.
3041,Watchmen,Paramount Pictures
3041,Watchmen,Legendary Entertainment
3042,Dr. No,Eon Productions
3043,Crazy Rich Asians,Warner Bros.
3043,Crazy Rich Asians,SK Global
3043,Crazy Rich Asians,Starlight Culture Entertainment
3044,The Mule,Warner Bros.
3044,The Mule,Imperative Entertainment
3044,The Mule,Bron Creative
3045,BlacKkKlansman,Focus Features
3045,BlacKkKlansman,Legendary Entertainment
3045,BlacKkKlansman,Perfect World Pictures
3046,Scary Movie,Dimension Films
3046,Scary Movie,Wayans Bros. Entertainment
3046,Scary Movie,Gold/Miller Productions
3047,The Lincoln Lawyer,Lionsgate
3047,The Lincoln Lawyer,Lakeshore Entertainment
3047,The Lincoln Lawyer,Sidney Kimmel Entertainment
3048,Mission: Impossible,Paramount Pictures
3048,Mission: Impossible,Cruise/Wagner Productions
3049,A Quiet Place Part II,Buffalo FilmWorks
3049,A Quiet Place Part II,Paramount Pictures
3049,A Quiet Place Part II,Platinum Dunes
3050,Men in Black: International,Columbia Pictures
3050,Men in Black: International,Tencent Pictures
3050,Men in Black: International,Amblin Entertainment
3051,Mr. & Mrs. Smith,New Regency Productions
3051,Mr. & Mrs. Smith,Summit Entertainment
3051,Mr. & Mrs. Smith,Weed Road Pictures
3052,The Kids Are All Right,Focus Features
3052,The Kids Are All Right,Gilbert Films
3052,The Kids Are All Right,Saint Aire Production
3053,Nocturnal Animals,Focus Features
3053,Nocturnal Animals,Fade to Black Productions
3053,Nocturnal Animals,Artina Films
3054,Tucker and Dale vs Evil,Reliance Big Pictures
3054,Tucker and Dale vs Evil,Loubyloo Productions
3054,Tucker and Dale vs Evil,Eden Rock Media
3055,Escape from New York,AVCO Embassy Pictures
3055,Escape from New York,International Film Investors
3055,Escape from New York,Goldcrest Films International
3056,Call Me by Your Name,Frenesy Film Company
3056,Call Me by Your Name,La Cinéfacture
3056,Call Me by Your Name,RT Features
3057,The Equalizer,Columbia Pictures
3057,The Equalizer,LStar Capital
3057,The Equalizer,Village Roadshow Pictures
3058,From Dusk Till Dawn,Dimension Films
3058,From Dusk Till Dawn,A Band Apart
3058,From Dusk Till Dawn,Los Hooligans Productions
3059,Dead Poets Society,Touchstone Pictures
3059,Dead Poets Society,Silver Screen Partners IV
3059,Dead Poets Society,A Steven Haft Production
3060,Planet Terror,Dimension Films
3060,Planet Terror,Troublemaker Studios
3060,Planet Terror,Rodriguez International Pictures
3061,Happy Feet,Warner Bros.
3061,Happy Feet,Village Roadshow Pictures
3061,Happy Feet,Kennedy Miller Productions
3062,Seven Years in Tibet,Mandalay Entertainment
3062,Seven Years in Tibet,Reperage & Vanguard Films
3062,Seven Years in Tibet,Applecross
3063,White Chicks,Revolution Studios
3063,White Chicks,Wayans Bros. Entertainment
3063,White Chicks,Gone North Productions
3064,Infernal Affairs,Media Asia Films
3064,Infernal Affairs,Basic Pictures
3065,Ray,Universal Pictures
3065,Ray,Bristol Bay Productions
3065,Ray,Anvil Films
3066,The Cable Guy,Columbia Pictures
3066,The Cable Guy,Brillstein-Grey Entertainment
3066,The Cable Guy,Licht/Mueller Film Corporation
3067,The Goonies,Warner Bros.
3067,The Goonies,Amblin Entertainment
3068,Perfume: The Story of a Murderer,DreamWorks
3068,Perfume: The Story of a Murderer,Constantin Film
3068,Perfume: The Story of a Murderer,Bernd Eichinger Productions
3069,Megamind,DreamWorks Animation
3069,Megamind,Pacific Data Images (PDI)
3069,Megamind,Red Hour Films
3070,Drive,FilmDistrict
3070,Drive,Bold Films
3070,Drive,MWM Studios
3071,Basic Instinct,Carolco Pictures
3071,Basic Instinct,Canal+
3072,The Thing,Universal Pictures
3072,The Thing,Turman-Foster Company
3073,The Lone Ranger,Walt Disney Pictures
3073,The Lone Ranger,Jerry Bruckheimer Films
3073,The Lone Ranger,Blind Wink Productions
3074,Godzilla.1,Warner Bros.
3074,Godzilla.1,Legendary Entertainment
3074,Godzilla.1,Disruption Entertainment
3075,"Girl, Interrupted",Columbia Pictures
3075,"Girl, Interrupted",Red Wagon Entertainment
3075,"Girl, Interrupted",3 Arts Entertainment
3076,Ghostbusters II,Columbia Pictures
3077,Road to Perdition,Dreamworks Pictures
3077,Road to Perdition,Twentieth Century Fox
3077,Road to Perdition,The Zanuck Company
3078,American Hustle,Columbia Pictures
3078,American Hustle,Annapurna Pictures
3078,American Hustle,Atlas Entertainment
3079,Man on Fire,Fox 2000 Pictures
3079,Man on Fire,New Regency Productions
3079,Man on Fire,Scott Free Productions
3080,Crimson Peak,Double Dare You (DDY)
3080,Crimson Peak,Legendary Entertainment
3081,Star Wars: Episode II - Attack of the Clones,Lucasfilm
3081,Star Wars: Episode II - Attack of the Clones,Recce & Production Services
3081,Star Wars: Episode II - Attack of the Clones,Mestiere Cinema
3082,Kick-Ass,Marv Films
3082,Kick-Ass,Plan B Entertainment
3082,Kick-Ass,DMG Entertainment
3083,Star Wars: Episode III - Revenge of the Sith,Lucasfilm
3083,Star Wars: Episode III - Revenge of the Sith,Mestiere Cinema
3083,Star Wars: Episode III - Revenge of the Sith,Pandora Films
3084,The Boat,Bavaria Film
3084,The Boat,Twin Bros. Productions
3084,The Boat,Radiant Film GmbH
3085,Snowpiercer,SnowPiercer
3085,Snowpiercer,Moho Film
3085,Snowpiercer,Opus Pictures
3086,Butch Cassidy and the Sundance Kid,Campanile Productions
3086,Butch Cassidy and the Sundance Kid,George Roy Hill-Paul Monash Production
3086,Butch Cassidy and the Sundance Kid,Newman-Foreman Company
3087,Face/Off,Permut Presentations
3087,Face/Off,Touchstone Pictures
3087,Face/Off,Paramount Pictures
3088,Iron Man 3,Marvel Studios
3088,Iron Man 3,Paramount Pictures
3088,Iron Man 3,DMG Entertainment
3089,Paranormal Activity,Solana Films
3089,Paranormal Activity,Blumhouse Productions
3090,Equilibrium,Dimension Films
3090,Equilibrium,Blue Tulip Productions
3091,The Incredibles,Pixar Animation Studios
3091,The Incredibles,Walt Disney Pictures
3092,Neighbors,Good Universe
3092,Neighbors,Point Grey Pictures
3093,Me and Earl and the Dying Girl,Fox Searchlight Pictures
3093,Me and Earl and the Dying Girl,Indian Paintbrush
3093,Me and Earl and the Dying Girl,Rhode Island Ave. Productions
3094,Dangal,Aamir Khan Productions
3094,Dangal,UTV Motion Pictures
3094,Dangal,Walt Disney Pictures
3095,Ghostbusters: Afterlife,Columbia Pictures
3095,Ghostbusters: Afterlife,BRON Studios
3095,Ghostbusters: Afterlife,Ghostcorps
3096,Blue Jasmine,Gravier Productions
3096,Blue Jasmine,Perdido Productions
3097,Network,Metro-Goldwyn-Mayer (MGM)
3098,Chappie,Columbia Pictures
3098,Chappie,Media Rights Capital (MRC)
3098,Chappie,LStar Capital
3099,Ronin,FGM Entertainment
3099,Ronin,United Artists
3099,Ronin,United Artists
3100,The Greatest Showman,Bona Film Group
3100,The Greatest Showman,Chernin Entertainment
3100,The Greatest Showman,TSG Entertainment
3101,Harry Potter and the Sorcerer's Stone,Warner Bros.
3101,Harry Potter and the Sorcerer's Stone,Heyday Films
3101,Harry Potter and the Sorcerer's Stone,1492 Pictures
3102,Daredevil,Marvel Enterprises
3102,Daredevil,New Regency Productions
3102,Daredevil,Horseshoe Bay Productions
3103,Star Wars: Episode VIII - The Last Jedi,Walt Disney Pictures
3103,Star Wars: Episode VIII - The Last Jedi,Lucasfilm
3103,Star Wars: Episode VIII - The Last Jedi,Ram Bergman Productions
3104,I Origins,Verisimilitude
3104,I Origins,WeWork Studios
3104,I Origins,Bersin Pictures
3105,V for Vendetta,Warner Bros.
3105,V for Vendetta,Virtual Studios
3105,V for Vendetta,Silver Pictures
3106,Halloween.2,Compass International Pictures
3106,Halloween.2,Falcon International Pictures
3106,Halloween.2,Falcon International Productions
3107,Source Code,Summit Entertainment
3107,Source Code,Vendome Pictures
3107,Source Code,StudioCanal
3108,Air Force One,Columbia Pictures
3108,Air Force One,Beacon Communications
3108,Air Force One,Radiant Productions
3109,The Wrestler,Wild Bunch
3109,The Wrestler,Protozoa Pictures
3109,The Wrestler,Saturn Films
3110,Bad Santa,Columbia Pictures
3110,Bad Santa,Dimension Films
3110,Bad Santa,Triptych Pictures
3111,Olympus Has Fallen,Millennium Films
3111,Olympus Has Fallen,Millennium Films
3111,Olympus Has Fallen,G-BASE
3112,The Assassination of Jesse James by the Coward Robert Ford,Warner Bros.
3112,The Assassination of Jesse James by the Coward Robert Ford,Jesse Films Inc.
3112,The Assassination of Jesse James by the Coward Robert Ford,Scott Free Productions
3113,Happy Death Day,Universal Pictures
3113,Happy Death Day,Blumhouse Productions
3113,Happy Death Day,Digital Riot Media
3114,Exodus: Gods and Kings,Chernin Entertainment
3114,Exodus: Gods and Kings,Scott Free Productions
3114,Exodus: Gods and Kings,Babieka
3115,Mystic River,Warner Bros.
3115,Mystic River,Village Roadshow Pictures
3115,Mystic River,NPV Entertainment
3116,The Hunt.1,Danmarks Radio (DR)
3116,The Hunt.1,Det Danske Filminstitut
3116,The Hunt.1,Eurimages
3117,Saw II,Twisted Pictures
3117,Saw II,Evolution Entertainment
3117,Saw II,Got Films
3118,This Is the End,Columbia Pictures
3118,This Is the End,Point Grey Pictures
3118,This Is the End,Mandate Pictures
3119,In Time,New Regency Productions
3119,In Time,New Regency Productions
3119,In Time,Strike Entertainment
3120,Airplane!,Paramount Pictures
3120,Airplane!,Howard W. Koch Productions
3121,Amélie,Claudie Ossard Productions
3121,Amélie,Union Générale Cinématographique (UGC)
3121,Amélie,Victoires Productions
3122,Pulp Fiction,Miramax
3122,Pulp Fiction,A Band Apart
3122,Pulp Fiction,Jersey Films
3123,Locke,IM Global
3123,Locke,Shoebox Films
3124,Rambo,Lionsgate
3124,Rambo,The Weinstein Company
3124,Rambo,Millennium Films
3125,Hannibal,Metro-Goldwyn-Mayer (MGM)
3125,Hannibal,Universal Pictures
3125,Hannibal,Dino De Laurentiis Company
3126,The Hangover,Warner Bros.
3126,The Hangover,Legendary Entertainment
3126,The Hangover,Green Hat Films
3127,Sicario: Day of the Soldado,Columbia Pictures
3127,Sicario: Day of the Soldado,Black Label Media
3127,Sicario: Day of the Soldado,Thunder Road Pictures
3128,Hugo,Paramount Pictures
3128,Hugo,GK Films
3128,Hugo,Infinitum Nihil
3129,Before Sunset,Warner Independent Pictures (WIP)
3129,Before Sunset,Castle Rock Entertainment
3129,Before Sunset,Detour Filmproduction
3130,Breakfast at Tiffany's,Jurow-Shepherd
3131,Fast Five,Universal Pictures
3131,Fast Five,Original Film
3131,Fast Five,One Race Productions
3132,The Ides of March,Columbia Pictures
3132,The Ides of March,Cross Creek Pictures
3132,The Ides of March,Exclusive Media Group
3133,The Hunger Games: Catching Fire,Color Force
3133,The Hunger Games: Catching Fire,Lionsgate
3134,The Mist,Dimension Films
3134,The Mist,Darkwoods Productions
3134,The Mist,The Weinstein Company
3135,TRON: Legacy,Walt Disney Pictures
3135,TRON: Legacy,Sean Bailey Productions
3135,TRON: Legacy,LivePlanet
3136,Planet of the Apes,APJAC Productions
3136,Planet of the Apes,Twentieth Century Fox
3137,Beowulf,Paramount Pictures
3137,Beowulf,Shangri-La Entertainment
3137,Beowulf,ImageMovers
3138,Super 8,Paramount Pictures
3138,Super 8,Amblin Entertainment
3138,Super 8,Bad Robot
3139,Battle Royale,Toho Company
3139,Battle Royale,AM Associates
3139,Battle Royale,Fukasaku-gumi
3140,Ice Age,Twentieth Century Fox
3140,Ice Age,Blue Sky Studios
3140,Ice Age,Twentieth Century Fox Animation
3141,Deja Vu,Touchstone Pictures
3141,Deja Vu,Jerry Bruckheimer Films
3141,Deja Vu,Scott Free Productions
3142,Safe House,Universal Pictures
3142,Safe House,Relativity Media
3142,Safe House,Bluegrass Films
3143,Mission: Impossible II,Paramount Pictures
3143,Mission: Impossible II,Cruise/Wagner Productions
3143,Mission: Impossible II,Munich Film Partners & Company (MFP) MI2 Productions
3144,The Shallows,Columbia Pictures
3144,The Shallows,Weimaraner Republic Pictures
3144,The Shallows,Ombra Films
3145,Austin Powers: The Spy Who Shagged Me,New Line Cinema
3145,Austin Powers: The Spy Who Shagged Me,Gratitude
3145,Austin Powers: The Spy Who Shagged Me,Moving Pictures (I)
3146,Empire of the Sun,Amblin Entertainment
3146,Empire of the Sun,Warner Bros.
3147,The Twilight Saga: Eclipse,Summit Entertainment
3147,The Twilight Saga: Eclipse,Temple Hill Entertainment
3147,The Twilight Saga: Eclipse,Maverick Films
3148,The Bounty Hunter,Columbia Pictures
3148,The Bounty Hunter,Relativity Media
3148,The Bounty Hunter,Original Film
3149,The Hurt Locker,Voltage Pictures
3149,The Hurt Locker,Grosvenor Park Media
3149,The Hurt Locker,Film Capital Europe Funds (FCEF )
3150,Zootopia,Walt Disney Pictures
3150,Zootopia,Walt Disney Animation Studios
3151,Y tu mamá también,Anhelo Producciones
3151,Y tu mamá también,Besame Mucho Pictures
3151,Y tu mamá también,Producciones Anhelo
3152,Charlie's Angels.1,Columbia Pictures
3152,Charlie's Angels.1,Flower Films (II)
3152,Charlie's Angels.1,Tall Trees Productions
3153,Flushed Away,Aardman Animations
3153,Flushed Away,DreamWorks Animation
3154,The Happening,Twentieth Century Fox
3154,The Happening,UTV Motion Pictures
3154,The Happening,Spyglass Entertainment
3155,"Crouching Tiger, Hidden Dragon",Asia Union Film & Entertainment Ltd.
3155,"Crouching Tiger, Hidden Dragon",China Film Co-Production Corporation
3155,"Crouching Tiger, Hidden Dragon",Columbia Pictures Film Production Asia
3156,One Hundred and One Dalmatians,Walt Disney Productions
3157,Ferris Bueller's Day Off,Paramount Pictures
3158,The Purge,Universal Pictures
3158,The Purge,Platinum Dunes
3158,The Purge,Blumhouse Productions
3159,Bright,Clubhouse Pictures (II)
3159,Bright,Overbrook Entertainment
3159,Bright,Netflix
3160,Johnny English Reborn,Universal Pictures
3160,Johnny English Reborn,Relativity Media
3160,Johnny English Reborn,StudioCanal
3161,Savages,Ixtlan
3161,Savages,Onda Entertainment
3161,Savages,Relativity Media
3162,The Abyss,Twentieth Century Fox
3162,The Abyss,Pacific Western
3162,The Abyss,Lightstorm Entertainment
3163,Moon,Sony Pictures Classics
3163,Moon,Stage 6 Films
3163,Moon,Liberty Films UK
3164,Knowing,Summit Entertainment
3164,Knowing,Escape Artists
3164,Knowing,Mystery Clock Cinema
3165,Young Frankenstein,Gruskoff/Venture Films
3165,Young Frankenstein,Crossbow Productions
3165,Young Frankenstein,Jouer Limited
3166,Babel,Paramount Pictures
3166,Babel,Paramount Vantage
3166,Babel,Anonymous Content
3167,Pain & Gain,Paramount Pictures
3167,Pain & Gain,De Line Pictures
3167,Pain & Gain,Phoenix International
3168,Matilda,TriStar Pictures
3168,Matilda,Jersey Films
3169,Good Will Hunting,Miramax
3169,Good Will Hunting,Be Gentlemen Limited Partnership
3169,Good Will Hunting,Lawrence Bender Productions
3170,The Karate Kid.1,Columbia Pictures
3170,The Karate Kid.1,Overbrook Entertainment
3170,The Karate Kid.1,Sony Pictures Releasing
3171,Almost Famous,Columbia Pictures
3171,Almost Famous,Dreamworks Pictures
3171,Almost Famous,Vinyl Films
3172,Inside Man,Universal Pictures
3172,Inside Man,Imagine Entertainment
3172,Inside Man,40 Acres & A Mule Filmworks
3173,Tinker Tailor Soldier Spy,StudioCanal
3173,Tinker Tailor Soldier Spy,Karla Films
3173,Tinker Tailor Soldier Spy,Paradis Films
3174,Old School,Dreamworks Pictures
3174,Old School,The Montecito Picture Company
3175,Hot Tub Time Machine,Metro-Goldwyn-Mayer (MGM)
3175,Hot Tub Time Machine,United Artists
3175,Hot Tub Time Machine,New Crime Productions
3176,City of God,O2 Filmes
3176,City of God,VideoFilmes
3176,City of God,Globo Filmes
3177,The Croods,DreamWorks Animation
3178,Eternal Sunshine of the Spotless Mind,Focus Features
3178,Eternal Sunshine of the Spotless Mind,Anonymous Content
3178,Eternal Sunshine of the Spotless Mind,This Is That Productions
3179,Brothers,Lionsgate
3179,Brothers,Relativity Media
3179,Brothers,Sighvatsson Films
3180,Brooklyn,Wildgaze Films
3180,Brooklyn,BBC Films
3180,Brooklyn,Parallel Film Productions
3181,Blade,Amen Ra Films
3181,Blade,Imaginary Forces
3181,Blade,Marvel Enterprises
3182,Prometheus,Twentieth Century Fox
3182,Prometheus,Dune Entertainment
3182,Prometheus,Scott Free Productions
3183,Psycho,Shamley Productions
3184,A Walk to Remember,Warner Bros.
3184,A Walk to Remember,Pandora Cinema
3184,A Walk to Remember,DiNovi Pictures
3185,Enemy,Pathé
3185,Enemy,Entertainment One
3185,Enemy,Rhombus Media
3186,Forrest Gump,Paramount Pictures
3186,Forrest Gump,The Steve Tisch Company
3186,Forrest Gump,Wendy Finerman Productions
3187,Man of Steel,Warner Bros.
3187,Man of Steel,Legendary Entertainment
3187,Man of Steel,Syncopy
3188,Big Fish,Columbia Pictures
3188,Big Fish,Jinks/Cohen Company
3188,Big Fish,The Zanuck Company
3189,Man on a Ledge,Summit Entertainment
3189,Man on a Ledge,Di Bonaventura Pictures
3190,The Big Short,Paramount Pictures
3190,The Big Short,New Regency Productions
3190,The Big Short,Plan B Entertainment
3191,The Count of Monte Cristo,Touchstone Pictures
3191,The Count of Monte Cristo,Spyglass Entertainment
3191,The Count of Monte Cristo,World 2000 Entertainment
3192,Secret Window,Grand Slam Productions
3192,Secret Window,Columbia Pictures
3192,Secret Window,Mel's Cite du Cinema
3193,Underworld: Evolution,Screen Gems
3193,Underworld: Evolution,Lakeshore Entertainment
3193,Underworld: Evolution,Vancouver Film Studios
3194,Ratatouille,Walt Disney Pictures
3194,Ratatouille,Pixar Animation Studios
3195,Revolutionary Road,Dreamworks Pictures
3195,Revolutionary Road,BBC Films
3195,Revolutionary Road,Evamere Entertainment
3196,Nerve,Lionsgate
3196,Nerve,TIK Films
3196,Nerve,Allison Shearmur Productions
3197,The Cabin in the Woods,Lionsgate
3197,The Cabin in the Woods,Mutant Enemy
3197,The Cabin in the Woods,Metro-Goldwyn-Mayer (MGM)
3198,Ex Machina,A24
3198,Ex Machina,Universal Pictures
3198,Ex Machina,Film4
3199,Saving Private Ryan,Dreamworks Pictures
3199,Saving Private Ryan,Paramount Pictures
3199,Saving Private Ryan,Amblin Entertainment
3200,The Taking of Pelham 1 2 3,Columbia Pictures
3200,The Taking of Pelham 1 2 3,Metro-Goldwyn-Mayer (MGM)
3200,The Taking of Pelham 1 2 3,Relativity Media
3201,The Tomorrow War,Skydance Media
3201,The Tomorrow War,Paramount Pictures
3201,The Tomorrow War,New Republic Pictures
3202,Onward,Walt Disney Pictures
3202,Onward,Pixar Animation Studios
3203,The Danish Girl,Working Title Films
3203,The Danish Girl,Pretty Pictures
3203,The Danish Girl,ReVision Pictures
3204,The Gift.1,Blumhouse Productions
3204,The Gift.1,Ahimsa Films
3204,The Gift.1,Blue-Tongue Films
3205,The Adventures of Tintin,Columbia Pictures
3205,The Adventures of Tintin,Paramount Pictures
3205,The Adventures of Tintin,Amblin Entertainment
3206,Hachi: A Dog's Tale,Stage 6 Films
3206,Hachi: A Dog's Tale,Inferno Distribution
3206,Hachi: A Dog's Tale,Hachiko
3207,Rush,Exclusive Media Group
3207,Rush,Cross Creek Pictures
3207,Rush,Imagine Entertainment
3208,"Planes, Trains & Automobiles",Paramount Pictures
3208,"Planes, Trains & Automobiles",Hughes Entertainment
3209,Doctor Strange,Marvel Studios
3209,Doctor Strange,Walt Disney Pictures
3210,As Good as It Gets,TriStar Pictures
3210,As Good as It Gets,Gracie Films
3211,Horrible Bosses,New Line Cinema
3211,Horrible Bosses,Rat Entertainment
3212,The Evil Dead,Renaissance Pictures
3213,The Bank Job,Mosaic
3213,The Bank Job,Relativity Media
3213,The Bank Job,Omnilab Media
3214,X-Men,Twentieth Century Fox
3214,X-Men,Marvel Enterprises
3214,X-Men,Donners' Company
3215,Primal Fear,Paramount Pictures
3215,Primal Fear,Rysher Entertainment
3216,There's Something About Mary,Twentieth Century Fox
3217,Event Horizon,Golar Productions
3217,Event Horizon,Impact Pictures
3217,Event Horizon,Paramount Pictures
3218,Devil,Universal Pictures
3218,Devil,Media Rights Capital (MRC)
3218,Devil,Night Chronicles
3219,The Bourne Legacy,Universal Pictures
3219,The Bourne Legacy,Relativity Media
3219,The Bourne Legacy,The Kennedy/Marshall Company
3220,Flightplan,Touchstone Pictures
3220,Flightplan,Imagine Entertainment
3221,Adventureland,Miramax
3221,Adventureland,Sidney Kimmel Entertainment
3221,Adventureland,This Is That Productions
3222,Now You See Me,Summit Entertainment
3222,Now You See Me,K/O Paper Products
3222,Now You See Me,SOIXAN7E QUIN5E
3223,The Next Three Days,Lionsgate
3223,The Next Three Days,Hwy61
3223,The Next Three Days,Fidélité Films
3224,Isle of Dogs,Indian Paintbrush
3224,Isle of Dogs,American Empirical Pictures
3224,Isle of Dogs,Scott Rudin Productions
3225,The Sorcerer's Apprentice,Walt Disney Pictures
3225,The Sorcerer's Apprentice,Jerry Bruckheimer Films
3225,The Sorcerer's Apprentice,Saturn Films
3226,Flight,Paramount Pictures
3226,Flight,ImageMovers
3226,Flight,Parkes/MacDonald Image Nation
3227,It Follows,Northern Lights Films
3227,It Follows,Animal Kingdom
3227,It Follows,Two Flints
3228,10 Things I Hate About You,Touchstone Pictures
3228,10 Things I Hate About You,Mad Chance
3228,10 Things I Hate About You,Jaret Entertainment
3229,Star Trek,Paramount Pictures
3229,Star Trek,Spyglass Entertainment
3229,Star Trek,Bad Robot
3230,Thor,Paramount Pictures
3230,Thor,Marvel Entertainment
3230,Thor,Marvel Studios
3231,Dogma,View Askew Productions
3231,Dogma,STK
3232,Lethal Weapon 3,Warner Bros.
3232,Lethal Weapon 3,Silver Pictures
3233,Mrs. Doubtfire,Twentieth Century Fox
3233,Mrs. Doubtfire,Blue Wolf Productions
3234,Kramer vs. Kramer,Columbia Pictures
3234,Kramer vs. Kramer,Stanley Jaffe Production
3235,The Avengers,Marvel Studios
3235,The Avengers,Paramount Pictures
3236,Chicken Run,Aardman Animations
3236,Chicken Run,DreamWorks Animation
3236,Chicken Run,Pathé
3237,Wrath of the Titans,Warner Bros.
3237,Wrath of the Titans,Legendary Entertainment
3237,Wrath of the Titans,Cott Productions
3238,Ant-Man and the Wasp,Marvel Studios
3238,Ant-Man and the Wasp,Canadian Film or Video Production Tax Credit (CPTC)
3238,Ant-Man and the Wasp,The Province of Ontario
3239,Ralph Breaks the Internet,Walt Disney Animation Studios
3239,Ralph Breaks the Internet,Walt Disney Pictures
3240,Clueless,Paramount Pictures
3241,The Trial of the Chicago 7,Dreamworks Pictures
3241,The Trial of the Chicago 7,Amblin Partners
3241,The Trial of the Chicago 7,Aperture Media Partners
3242,Toy Story 3,Walt Disney Pictures
3242,Toy Story 3,Pixar Animation Studios
3243,Taken 2,EuropaCorp
3243,Taken 2,M6 Films
3243,Taken 2,Grive Productions
3244,The Secret in Their Eyes,Tornasol Films
3244,The Secret in Their Eyes,Haddock Films
3244,The Secret in Their Eyes,100 Bares
3245,Full Metal Jacket,Warner Bros.
3245,Full Metal Jacket,Natant
3245,Full Metal Jacket,Stanley Kubrick Productions
3246,Blade II,New Line Cinema
3246,Blade II,Amen Ra Films
3246,Blade II,Marvel Enterprises
3247,There Will Be Blood,Paramount Vantage
3247,There Will Be Blood,Miramax
3247,There Will Be Blood,Ghoulardi Film Company
3248,The Girl on the Train,Dreamworks Pictures
3248,The Girl on the Train,Reliance Entertainment
3248,The Girl on the Train,Marc Platt Productions
3249,Pinocchio,Walt Disney Productions
3250,Willy Wonka & the Chocolate Factory,Wolper Pictures
3251,Alien: Resurrection,Brandywine Productions
3251,Alien: Resurrection,Twentieth Century Fox
3252,A Good Day to Die Hard,Twentieth Century Fox
3252,A Good Day to Die Hard,TSG Entertainment
3252,A Good Day to Die Hard,Giant Pictures
3253,Lara Croft: Tomb Raider,Paramount Pictures
3253,Lara Croft: Tomb Raider,Mutual Film Company
3253,Lara Croft: Tomb Raider,BBC Films
3254,The Boss Baby,DreamWorks Animation
3255,The Adjustment Bureau,Universal Pictures
3255,The Adjustment Bureau,Media Rights Capital (MRC)
