,title,genres
1904,Meet the Fockers,Romance
1905,Train to Busan,Action
1905,Train to Busan,Horror
1905,Train to Busan,Thriller
1906,Babe,Comedy
1906,Babe,Drama
1906,Babe,Family
1907,Captain Phillips,Action
1907,Captain Phillips,Biography
1907,Captain Phillips,Crime
1907,Captain Phillips,Drama
1907,Captain Phillips,Thriller
1908,From Hell,Horror
1908,From Hell,Mystery
1908,From Hell,Thriller
1909,The Tree of Life,Drama
1909,The Tree of Life,Fantasy
1910,Brazil,Drama
1910,Brazil,Sci-Fi
1911,The 13th Warrior,Action
1911,The 13th Warrior,Adventure
1911,The 13th Warrior,History
1912,True Grit,Drama
1912,True Grit,Western
1913,The Virgin Suicides,Drama
1913,The Virgin Suicides,Romance
1914,Mad Max: Fury Road,Action
1914,Mad Max: Fury Road,Adventure
1914,Mad Max: Fury Road,Sci-Fi
1914,Mad Max: Fury Road,Thriller
1915,A Nightmare on Elm Street.1,Horror
1916,Moneyball,Biography
1916,Moneyball,Drama
1916,Moneyball,Sport
1917,The Sting,Comedy
1917,The Sting,Crime
1917,The Sting,Drama
1918,Edward Scissorhands,Drama
1918,Edward Scissorhands,Fantasy
1918,Edward Scissorhands,Romance
1919,Garden State,Comedy
1919,Garden State,Drama
1919,Garden State,Romance
1920,A Bronx Tale,Crime
1920,A Bronx Tale,Drama
1921,Ghost in the Shell,Action
1921,Ghost in the Shell,Crime
1921,Ghost in the Shell,Drama
1921,Ghost in the Shell,Sci-Fi
1921,Ghost in the Shell,Thriller
1922,Blades of Glory,Comedy
1922,Blades of Glory,Sport
1923,Napoleon Dynamite,Comedy
1924,Million Dollar Baby,Drama
1924,Million Dollar Baby,Sport
1925,Gattaca,Drama
1925,Gattaca,Sci-Fi
1925,Gattaca,Thriller
1926,Crank,Action
1926,Crank,Crime
1926,Crank,Thriller
1927,The Royal Tenenbaums,Comedy
1927,The Royal Tenenbaums,Drama
1928,King Arthur,Action
1928,King Arthur,Adventure
1928,King Arthur,Drama
1928,King Arthur,History
1928,King Arthur,War
1929,The Fast and the Furious: Tokyo Drift,Action
1929,The Fast and the Furious: Tokyo Drift,Crime
1929,The Fast and the Furious: Tokyo Drift,Thriller
1930,Phantom Thread,Drama
1930,Phantom Thread,Romance
1931,Speed,Action
1931,Speed,Adventure
1931,Speed,Thriller
1932,Jai Bhim,Crime
1932,Jai Bhim,Drama
1932,Jai Bhim,Mystery
1933,The Blind Side,Biography
1933,The Blind Side,Drama
1933,The Blind Side,Sport
1934,Stalker,Drama
1934,Stalker,Sci-Fi
1935,8MM,Crime
1935,8MM,Drama
1935,8MM,Mystery
1935,8MM,Thriller
1936,Star Wars,Action
1936,Star Wars,Adventure
1936,Star Wars,Fantasy
1936,Star Wars,Sci-Fi
1937,Ghostbusters,Action
1937,Ghostbusters,Comedy
1937,Ghostbusters,Fantasy
1937,Ghostbusters,Sci-Fi
1938,Heat,Action
1938,Heat,Crime
1938,Heat,Drama
1939,Pirates of the Caribbean: At World's End,Action
1939,Pirates of the Caribbean: At World's End,Adventure
1939,Pirates of the Caribbean: At World's End,Fantasy
1940,The Hitman's Bodyguard,Action
1940,The Hitman's Bodyguard,Comedy
1940,The Hitman's Bodyguard,Crime
1940,The Hitman's Bodyguard,Thriller
1941,The Untouchables,Crime
1941,The Untouchables,Drama
1941,The Untouchables,Thriller
1942,This Is England,Crime
1942,This Is England,Drama
1943,Last Action Hero,Action
1943,Last Action Hero,Adventure
1943,Last Action Hero,Comedy
1943,Last Action Hero,Fantasy
1944,Moulin Rouge!,Drama
1944,Moulin Rouge!,Musical
1944,Moulin Rouge!,Romance
1945,The Pursuit of Happyness,Biography
1945,The Pursuit of Happyness,Drama
1946,The Ballad of Buster Scruggs,Comedy
1946,The Ballad of Buster Scruggs,Drama
1946,The Ballad of Buster Scruggs,Musical
1946,The Ballad of Buster Scruggs,Mystery
1946,The Ballad of Buster Scruggs,Romance
1946,The Ballad of Buster Scruggs,Western
1947,Love Actually,Comedy
1947,Love Actually,Drama
1947,Love Actually,Romance
1948,Sing,Animation
1948,Sing,Comedy
1948,Sing,Family
1948,Sing,Musical
1949,Big Hero 6,Animation
1949,Big Hero 6,Action
1949,Big Hero 6,Adventure
1949,Big Hero 6,Comedy
1949,Big Hero 6,Family
1949,Big Hero 6,Sci-Fi
1950,Indiana Jones and the Raiders of the Lost Ark,Action
1950,Indiana Jones and the Raiders of the Lost Ark,Adventure
1951,Blade: Trinity,Action
1951,Blade: Trinity,Horror
1951,Blade: Trinity,Sci-Fi
1952,The Invisible Guest,Crime
1952,The Invisible Guest,Drama
1952,The Invisible Guest,Mystery
1952,The Invisible Guest,Thriller
1953,The Little Mermaid,Animation
1953,The Little Mermaid,Adventure
1953,The Little Mermaid,Comedy
1953,The Little Mermaid,Family
1953,The Little Mermaid,Fantasy
1953,The Little Mermaid,Musical
1953,The Little Mermaid,Romance
1954,Night at the Museum: Battle of the Smithsonian,Adventure
1954,Night at the Museum: Battle of the Smithsonian,Comedy
1954,Night at the Museum: Battle of the Smithsonian,Family
1954,Night at the Museum: Battle of the Smithsonian,Fantasy
1955,Dumb and Dumber,Comedy
1956,Wedding Crashers,Comedy
1956,Wedding Crashers,Romance
1957,Ghost,Drama
1957,Ghost,Fantasy
1957,Ghost,Romance
1957,Ghost,Thriller
1958,The Mask of Zorro,Action
1958,The Mask of Zorro,Adventure
1958,The Mask of Zorro,Comedy
1958,The Mask of Zorro,Romance
1958,The Mask of Zorro,Thriller
1958,The Mask of Zorro,Western
1959,The Fast and the Furious,Action
1959,The Fast and the Furious,Crime
1959,The Fast and the Furious,Thriller
1960,Braveheart,Biography
1960,Braveheart,Drama
1960,Braveheart,History
1960,Braveheart,War
1961,Jarhead,Biography
1961,Jarhead,Drama
1961,Jarhead,War
1962,RocknRolla,Action
1962,RocknRolla,Crime
1962,RocknRolla,Thriller
1963,Night at the Museum,Adventure
1963,Night at the Museum,Comedy
1963,Night at the Museum,Family
1963,Night at the Museum,Fantasy
1964,Black Mass,Biography
1964,Black Mass,Crime
1964,Black Mass,Drama
1965,The Butterfly Effect,Drama
1965,The Butterfly Effect,Sci-Fi
1965,The Butterfly Effect,Thriller
1966,Falling Down,Action
1966,Falling Down,Crime
1966,Falling Down,Drama
1966,Falling Down,Thriller
1967,What's Eating Gilbert Grape,Drama
1968,The Hobbit: The Battle of the Five Armies,Adventure
1968,The Hobbit: The Battle of the Five Armies,Fantasy
1969,RED,Action
1969,RED,Comedy
1969,RED,Crime
1969,RED,Thriller
1970,The Third Man,Film-Noir
1970,The Third Man,Mystery
1970,The Third Man,Thriller
1971,The Prince of Egypt,Animation
1971,The Prince of Egypt,Adventure
1971,The Prince of Egypt,Drama
1971,The Prince of Egypt,Family
1971,The Prince of Egypt,Fantasy
1971,The Prince of Egypt,Musical
1972,Spy Game,Action
1972,Spy Game,Crime
1972,Spy Game,Thriller
1973,Fast & Furious,Action
1973,Fast & Furious,Crime
1973,Fast & Furious,Thriller
1974,Beauty and the Beast,Adventure
1974,Beauty and the Beast,Family
1974,Beauty and the Beast,Fantasy
1974,Beauty and the Beast,Musical
1974,Beauty and the Beast,Romance
1975,Spider-Man: Homecoming,Action
1975,Spider-Man: Homecoming,Adventure
1975,Spider-Man: Homecoming,Sci-Fi
1976,Blow,Biography
1976,Blow,Crime
1976,Blow,Drama
1977,Underworld: Awakening,Action
1977,Underworld: Awakening,Fantasy
1977,Underworld: Awakening,Horror
1977,Underworld: Awakening,Sci-Fi
1978,The Matrix Resurrections,Action
1978,The Matrix Resurrections,Sci-Fi
1979,The Time Machine,Action
1979,The Time Machine,Adventure
1979,The Time Machine,Sci-Fi
1980,Donnie Brasco,Biography
1980,Donnie Brasco,Crime
1980,Donnie Brasco,Drama
1981,Casino Royale,Action
1981,Casino Royale,Adventure
1981,Casino Royale,Thriller
1982,Godzilla,Action
1982,Godzilla,Sci-Fi
1982,Godzilla,Thriller
1983,Inception,Action
1983,Inception,Adventure
1983,Inception,Sci-Fi
1983,Inception,Thriller
1984,The Lake House,Drama
1984,The Lake House,Fantasy
1984,The Lake House,Romance
1985,Legend.1,Biography
1985,Legend.1,Crime
1985,Legend.1,Drama
1985,Legend.1,Thriller
1986,The Rocky Horror Picture Show,Comedy
1986,The Rocky Horror Picture Show,Horror
1986,The Rocky Horror Picture Show,Musical
1987,"Monsters, Inc.",Animation
1987,"Monsters, Inc.",Adventure
1987,"Monsters, Inc.",Comedy
1987,"Monsters, Inc.",Family
1987,"Monsters, Inc.",Fantasy
1988,Margin Call,Drama
1988,Margin Call,Thriller
1989,The Great Gatsby,Drama
1989,The Great Gatsby,Romance
1990,Glass,Drama
1990,Glass,Sci-Fi
1990,Glass,Thriller
1991,Warcraft,Action
1991,Warcraft,Adventure
1991,Warcraft,Fantasy
1992,John Q,Crime
1992,John Q,Drama
1992,John Q,Thriller
1993,The Day After Tomorrow,Action
1993,The Day After Tomorrow,Adventure
1993,The Day After Tomorrow,Sci-Fi
1993,The Day After Tomorrow,Thriller
1994,2012,Action
1994,2012,Adventure
1994,2012,Sci-Fi
