web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration,imdb_rating,num_vote,release_date,gross_us_can,gross_opening_weekend,gross_worldwide,Date
1647970765-1612,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",21,21,https://www.imdb.com/title/tt0478087/?ref_=adv_li_tt,2008,PG-13,2h 3m,6.8,245K,"May 15, 2008 (Thailand)","$81,159,365 ","$24,105,943 ","$159,808,370 ","May 15, 2008"
1647979962-3599,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Red Dawn,Red Dawn,https://www.imdb.com/title/tt0087985/?ref_=adv_li_tt,1984,PG-13,1h 54m,6.3,56K,"August 10, 1984 (United States)","$38,376,497 ","$8,230,381 ","$38,376,497 ","August 10, 1984"
1647973062-2093,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Signal,The Signal,https://www.imdb.com/title/tt2910814/?ref_=adv_li_tt,2014,PG-13,1h 37m,6.1,65K,"July 10, 2014 (Germany)","$600,896 ","$155,642 ","$2,595,622 ","July 10, 2014"
1647975083-2533,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Secret World of Arrietty,The Secret World of Arrietty,https://www.imdb.com/title/tt1568921/?ref_=adv_li_tt,2010,G,1h 34m,7.6,89K,"June 23, 2011 (Thailand)","$19,587,032 ","$6,446,395 ","$149,411,550 ","June 23, 2011"
1647966413-685,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Lilo & Stitch,Lilo & Stitch,https://www.imdb.com/title/tt0275847/?ref_=adv_li_tt,2002,PG,1h 25m,7.3,183K,"June 21, 2002 (United States)","$145,794,338 ","$35,260,212 ","$273,144,151 ","June 21, 2002"
1647965462-481,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Rounders,Rounders,https://www.imdb.com/title/tt0128442/?ref_=adv_li_tt,1998,R,2h 1m,7.3,149K,"March 26, 1999 (Thailand)","$22,912,409 ","$8,459,126 ","$22,912,409 ","March 26, 1999"
1647965216-438,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Enemy of the State,Enemy of the State,https://www.imdb.com/title/tt0120660/?ref_=adv_li_tt,1998,R,2h 12m,7.3,240K,"December 30, 1998 (Thailand)","$111,549,836 ","$20,038,573 ","$250,849,789 ","December 30, 1998"
1647978617-3307,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Criminal,Criminal,https://www.imdb.com/title/tt3014866/?ref_=adv_li_tt,2016,15,1h 53m,6.3,65K,"April 15, 2016 (Bulgaria)","$14,708,696 ","$5,767,278 ","$38,803,993 ","April 15, 2016"
1647965632-516,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Die Hard 2,Die Hard 2,https://www.imdb.com/title/tt0099423/?ref_=adv_li_tt,1990,R,2h 4m,7.2,355K,"July 3, 1990 (United States)","$117,540,947 ","$21,744,661 ","$240,031,274 ","July 3, 1990"
1647977871-3143,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Day the Earth Stood Still,The Day the Earth Stood Still,https://www.imdb.com/title/tt0043456/?ref_=adv_li_tt,1951,G,1h 32m,7.8,81K,"September 20, 1951 (United States)",null,null,null,"September 20, 1951"
1647972026-1869,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Girl Who Leapt Through Time,The Girl Who Leapt Through Time,https://www.imdb.com/title/tt0808506/?ref_=adv_li_tt,2006,TV-PG,1h 38m,7.7,65K,"July 15, 2006 (Japan)",null,null,"$873,435 ","July 15, 2006"
1647973177-2118,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Devil's Double,The Devil's Double,https://www.imdb.com/title/tt1270262/?ref_=adv_li_tt,2011,R,1h 49m,7.1,62K,"September 8, 2011 (Netherlands)","$1,361,512 ","$96,414 ","$5,728,213 ","September 8, 2011"
1647972907-2061,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250","I, Daniel Blake","I, Daniel Blake",https://www.imdb.com/title/tt5168192/?ref_=adv_li_tt,2016,R,1h 40m,7.9,59K,"October 21, 2016 (United Kingdom)","$260,354 ","$18,682 ","$15,793,051 ","October 21, 2016"
1647964444-287,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Eragon,Eragon,https://www.imdb.com/title/tt0449010/?ref_=adv_li_tt,2006,PG,1h 44m,5.1,126K,"December 14, 2006 (Thailand)","$75,030,163 ","$23,239,907 ","$250,425,512 ","December 14, 2006"
1647979096-3412,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Bullitt,Bullitt,https://www.imdb.com/title/tt0062765/?ref_=adv_li_tt,1968,M/PG,1h 54m,7.4,67K,"October 17, 1968 (United States)","$511,350 ","$408,627 ","$511,422 ","October 17, 1968"
1647969828-1412,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Les Misérables,Les Misérables,https://www.imdb.com/title/tt1707386/?ref_=adv_li_tt,2012,15,2h 38m,7.6,324K,"January 31, 2013 (Thailand)","$148,809,770 ","$27,281,735 ","$442,299,309 ","January 31, 2013"
1647970525-1561,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Usual Suspects,The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt,1995,R,1h 46m,8.5,1.1M,"August 16, 1995 (United States)","$23,341,568 ","$645,363 ","$23,341,568 ","August 16, 1995"
1647969938-1435,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Warrior,Warrior,https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt,2011,PG-13,2h 20m,8.2,461K,"September 9, 2011 (United States)","$13,657,115 ","$5,242,107 ","$23,308,615 ","September 9, 2011"
1647976105-2756,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,https://www.imdb.com/title/tt0116126/?ref_=adv_li_tt,1996,R,1h 29m,6.6,54K,"January 12, 1996 (United States)","$20,109,115 ","$8,112,884 ","$20,949,601 ","January 12, 1996"
1647963547-92,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Letters from Iwo Jima,Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/?ref_=adv_li_tt,2006,R,2h 21m,7.9,161K,"December 9, 2006 (Japan)","$13,756,082 ","$89,097 ","$68,673,228 ","December 9, 2006"
1647967237-858,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Dictator,The Dictator,https://www.imdb.com/title/tt1645170/?ref_=adv_li_tt,2012,R,1h 23m,6.4,297K,"July 12, 2012 (Thailand)","$59,650,222 ","$17,435,092 ","$179,379,533 ","July 12, 2012"
1647980016-3611,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Burnt,Burnt,https://www.imdb.com/title/tt2503944/?ref_=adv_li_tt,2015,13,1h 41m,6.6,114K,"January 28, 2016 (Thailand)","$13,651,946 ","$5,002,521 ","$36,606,743 ","January 28, 2016"
1647966322-665,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Mummy,The Mummy,https://www.imdb.com/title/tt2345759/?ref_=adv_li_tt,2017,13,1h 51m,5.4,183K,"June 9, 2017 (China)","$80,227,895 ","$31,688,375 ","$409,231,607 ","June 9, 2017"
1647970924-1645,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Prestige,The Prestige,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt,2006,PG-13,2h 10m,8.5,1.3M,"November 2, 2006 (Thailand)","$53,089,891 ","$14,801,808 ","$109,676,311 ","November 2, 2006"
