,title,director
2015,Lilo & Stitch,Dean DeBlois
2015,Lilo & Stitch,Chris Sanders
2016,Rear Window,Alfred Hitchcock
2017,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov
2018,The Other Guys,Adam McKay
2019,Harry Potter and the Chamber of Secrets,Chris Columbus
2020,The Way Way Back,Nat Faxon
2020,The Way Way Back,Jim Rash
2021,"I, Robot",Alex Proyas
2022,The Accountant,Gavin O'Connor
2023,Deadpool,Tim Miller
2024,The Lighthouse,Robert Eggers
2025,The Texas Chain Saw Massacre,Tobe Hooper
2026,King Kong.1,Peter Jackson
2027,North by Northwest,Alfred Hitchcock
2028,Miss Congeniality,Donald Petrie
2029,The Exorcism of Emily Rose,Scott Derrickson
2030,Cloudy with a Chance of Meatballs,Phil Lord
2030,Cloudy with a Chance of Meatballs,Christopher Miller
2031,The Perfect Storm,Wolfgang Petersen
2032,Resident Evil: Afterlife,Paul W.S. Anderson
2033,Little Women.1,Greta Gerwig
2034,The Visit,M. Night Shyamalan
2035,Fury,David Ayer
2036,Big,Penny Marshall
2037,Despicable Me 3,Kyle Balda
2037,Despicable Me 3,Pierre Coffin
2037,Despicable Me 3,Eric Guillon
2038,The Game,David Fincher
2039,Grown Ups,Dennis Dugan
2040,Antichrist,Lars von Trier
2041,Sleepy Hollow,Tim Burton
2042,The Fighter,David O. Russell
2043,The Godfather: Part III,Francis Ford Coppola
2044,Mean Girls,Mark Waters
2045,Nobody,Ilya Naishuller
2046,American Made,Doug Liman
2047,Remember the Titans,Boaz Yakin
2048,Neighbors 2: Sorority Rising,Nicholas Stoller
2049,Scott Pilgrim vs. the World,Edgar Wright
2050,Terminator 2: Judgment Day,James Cameron
2051,Æon Flux,Karyn Kusama
2052,Snow White and the Seven Dwarfs,William Cottrell
2052,Snow White and the Seven Dwarfs,David Hand
2052,Snow White and the Seven Dwarfs,Wilfred Jackson
2053,Step Brothers,Adam McKay
2054,The Predator,Shane Black
2055,Argo,Ben Affleck
2056,Wild Wild West,Barry Sonnenfeld
2057,Anchorman: The Legend of Ron Burgundy,Adam McKay
2058,This Means War,McG
2059,Dial M for Murder,Alfred Hitchcock
2060,Taxi Driver,Martin Scorsese
2061,First Man,Damien Chazelle
2062,Lost in Translation,Sofia Coppola
2063,The Promise,Terry George
2064,The Edge of Seventeen,Kelly Fremon Craig
2065,Blood Diamond,Edward Zwick
2066,Run Lola Run,Tom Tykwer
2067,Amores perros,Alejandro G. Iñárritu
2068,Finding Neverland,Marc Forster
2069,The Waterboy,Frank Coraci
2070,Into the Wild,Sean Penn
2071,Deadpool 2,David Leitch
2072,The Divergent Series: Insurgent,Robert Schwentke
2073,Monster,Patty Jenkins
2074,American Sniper,Clint Eastwood
2075,Jennifer's Body,Karyn Kusama
2076,Home Alone 2: Lost in New York,Chris Columbus
2077,Scream 4,Wes Craven
2078,The Apartment,Billy Wilder
2079,X-Men: Days of Future Past,Bryan Singer
2080,Promising Young Woman,Emerald Fennell
2081,The Theory of Everything,James Marsh
2082,Before Sunrise,Richard Linklater
2083,My Big Fat Greek Wedding,Joel Zwick
2084,Snow White and the Huntsman,Rupert Sanders
2085,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted
2086,Underworld: Rise of the Lycans,Patrick Tatopoulos
2087,Cliffhanger,Renny Harlin
2088,2 Fast 2 Furious,John Singleton
2089,Match Point,Woody Allen
2090,Chef,Jon Favreau
2091,Interstellar,Christopher Nolan
2092,The Vow,Michael Sucsy
2093,Fast & Furious 6,Justin Lin
2094,Corpse Bride,Tim Burton
2094,Corpse Bride,Mike Johnson
2095,The Last Airbender,M. Night Shyamalan
2096,Back to the Future Part III,Robert Zemeckis
2097,Fantastic Four,Tim Story
2098,Don Jon,Joseph Gordon-Levitt
2099,Paul,Greg Mottola
2100,Edge of Tomorrow,Doug Liman
2101,Wonder Woman,Patty Jenkins
2102,The Mechanic,Simon West
2103,The Purge: Anarchy,James DeMonaco
2104,Marley & Me,David Frankel
2105,The Expendables 2,Simon West
2106,Awakenings,Penny Marshall
2107,My Best Friend's Wedding,P.J. Hogan
2108,Flags of Our Fathers,Clint Eastwood
2109,The Hours,Stephen Daldry
2110,Hercules,Brett Ratner
2111,Blade Runner 2049,Denis Villeneuve
2112,Blue Velvet,David Lynch
2113,The Addams Family,Barry Sonnenfeld
2114,End of Watch,David Ayer
2115,Tears of the Sun,Antoine Fuqua
2116,A Million Ways to Die in the West,Seth MacFarlane
2117,The Great Dictator,Charles Chaplin
2118,American Gangster,Ridley Scott
2119,Surrogates,Jonathan Mostow
2120,Searching,Aneesh Chaganty
2121,Fantastic 4: Rise of the Silver Surfer,Tim Story
2122,School of Rock,Richard Linklater
2123,Tombstone,George P. Cosmatos
2123,Tombstone,Kevin Jarre
2124,Elf,Jon Favreau
2125,National Lampoon's Christmas Vacation,Jeremiah S. Chechik
2126,The Great Wall,Yimou Zhang
2127,Miss Peregrine's Home for Peculiar Children,Tim Burton
2128,About a Boy,Chris Weitz
2128,About a Boy,Paul Weitz
2129,Juno,Jason Reitman
2130,Rush Hour 2,Brett Ratner
2131,The Hunger Games,Gary Ross
2132,The Help,Tate Taylor
2133,Hitch,Andy Tennant
2134,Justice League,Zack Snyder
2135,The Town,Ben Affleck
2136,27 Dresses,Anne Fletcher
2137,Spider-Man: Far from Home,Jon Watts
2138,The Kid,Charles Chaplin
2139,The Italian Job,F. Gary Gray
2140,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles
2141,Yes Man,Peyton Reed
2142,The Age of Adaline,Lee Toland Krieger
2143,The Internship,Shawn Levy
2144,Escape Plan,Mikael Håfström
2145,Bee Movie,Simon J. Smith
2145,Bee Movie,Steve Hickner
2146,A Knight's Tale,Brian Helgeland
2147,Parasite,Bong Joon Ho
2148,Jumper,Doug Liman
2149,One Hour Photo,Mark Romanek
2150,Captain America: Civil War,Anthony Russo
2150,Captain America: Civil War,Joe Russo
2151,Pride & Prejudice,Joe Wright
2152,PK,Rajkumar Hirani
2153,Annie Hall,Woody Allen
2154,Alice in Wonderland,Clyde Geronimi
2154,Alice in Wonderland,Wilfred Jackson
2154,Alice in Wonderland,Hamilton Luske
2155,Live Free or Die Hard,Len Wiseman
2156,Alien: Covenant,Ridley Scott
2157,It's Kind of a Funny Story,Anna Boden
2157,It's Kind of a Funny Story,Ryan Fleck
2158,I Saw the Devil,Jee-woon Kim
2159,The Princess and the Frog,Ron Clements
2159,The Princess and the Frog,John Musker
2160,The Fountain,Darren Aronofsky
2161,The Green Mile,Frank Darabont
2162,Clerks II,Kevin Smith
2163,Blade Runner,Ridley Scott
2164,Star Trek Into Darkness,J.J. Abrams
2165,The Departed,Martin Scorsese
2166,A.I. Artificial Intelligence,Steven Spielberg
2167,Ace Ventura: Pet Detective,Tom Shadyac
2168,Jojo Rabbit,Taika Waititi
2169,The Spectacular Now,James Ponsoldt
2170,The Iron Giant,Brad Bird
2171,The Birds,Alfred Hitchcock
2172,The Secret Life of Pets,Chris Renaud
2173,Gran Torino,Clint Eastwood
2174,3:10 to Yuma,James Mangold
2175,Hunt for the Wilderpeople,Taika Waititi
2176,Kill Bill: Vol. 1,Quentin Tarantino
2177,The Grand Budapest Hotel,Wes Anderson
2178,Cold Mountain,Anthony Minghella
2179,Shame,Steve McQueen
2180,Captain America: The First Avenger,Joe Johnston
2181,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton
2182,Tomorrow Never Dies,Roger Spottiswoode
2183,Dirty Dancing,Emile Ardolino
2184,Bruce Almighty,Tom Shadyac
2185,The Road Warrior,George Miller
2186,Rocketman,Dexter Fletcher
2187,Spider-Man 3,Sam Raimi
2188,Alien vs. Predator,Paul W.S. Anderson
2189,Focus,Glenn Ficarra
2189,Focus,John Requa
2190,Superman,Richard Donner
2191,Army of the Dead,Zack Snyder
2192,Man on the Moon,Milos Forman
2193,The Rock,Michael Bay
2194,Anastasia,Don Bluth
2194,Anastasia,Gary Goldman
2195,Vanilla Sky,Cameron Crowe
2196,The Change-Up,David Dobkin
2197,Chasing Amy,Kevin Smith
2198,The Island,Michael Bay
2199,Terminator Salvation,McG
2200,Evil Dead,Fede Alvarez
2201,Tremors,Ron Underwood
2202,The Dark Knight Rises,Christopher Nolan
2203,Dawn of the Planet of the Apes,Matt Reeves
2204,Lars and the Real Girl,Craig Gillespie
2205,G.I. Joe: The Rise of Cobra,Stephen Sommers
2206,Cinderella Man,Ron Howard
2207,Shanghai Noon,Tom Dey
2208,Mulan,Niki Caro
2209,Snatch,Guy Ritchie
2210,Demolition Man,Marco Brambilla
2211,The Ring,Gore Verbinski
2212,Stardust,Matthew Vaughn
2213,Knight and Day,James Mangold
2214,Punch-Drunk Love,Paul Thomas Anderson
2215,This Is Spinal Tap,Rob Reiner
2216,Life of Pi,Ang Lee
2217,Ford v Ferrari,James Mangold
2218,Meet Joe Black,Martin Brest
2219,Billy Madison,Tamra Davis
2220,The Elephant Man,David Lynch
2221,Cool Hand Luke,Stuart Rosenberg
2222,Independence Day,Roland Emmerich
2223,Ben-Hur,William Wyler
2224,Venom: Let There Be Carnage,Andy Serkis
2225,Lord of War,Andrew Niccol
2226,Madagascar,Eric Darnell
2226,Madagascar,Tom McGrath
2227,Pearl Harbor,Michael Bay
2228,Dodgeball: A True Underdog Story,Rawson Marshall Thurber
2229,Panic Room,David Fincher
2230,The Intern,Nancy Meyers
2231,Mortal Kombat.1,Simon McQuoid
2232,Jurassic Park,Steven Spielberg
2233,Sunshine,Danny Boyle
2234,Red Dragon,Brett Ratner
2235,Dumbo.1,Samuel Armstrong
2235,Dumbo.1,Norman Ferguson
2235,Dumbo.1,Wilfred Jackson
2236,Batman Forever,Joel Schumacher
2237,Before Midnight,Richard Linklater
2238,Mad Max Beyond Thunderdome,George Miller
2238,Mad Max Beyond Thunderdome,George Ogilvie
2239,Robin Hood.1,Wolfgang Reitherman
2239,Robin Hood.1,David Hand
2240,Clerks,Kevin Smith
2241,Joy,David O. Russell
2242,Star Wars: Episode VII - The Force Awakens,J.J. Abrams
2243,Mission: Impossible - Ghost Protocol,Brad Bird
2244,Gremlins,Joe Dante
2245,Cinderella,Clyde Geronimi
2245,Cinderella,Wilfred Jackson
2245,Cinderella,Hamilton Luske
2246,The Life Aquatic with Steve Zissou,Wes Anderson
2247,The Father,Florian Zeller
2248,Dawn of the Dead.1,Zack Snyder
2249,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay
2250,A Simple Favor,Paul Feig
2251,Cinema Paradiso,Giuseppe Tornatore
2252,John Wick: Chapter 2,Chad Stahelski
2253,Battleship,Peter Berg
2254,Seven Samurai,Akira Kurosawa
2255,Maleficent,Robert Stromberg
2256,The Lion King,Jon Favreau
2257,The Invisible Man,Leigh Whannell
2258,The English Patient,Anthony Minghella
2259,Maze Runner: The Death Cure,Wes Ball
2260,Captain America: The Winter Soldier,Anthony Russo
2260,Captain America: The Winter Soldier,Joe Russo
2261,Crash.1,Paul Haggis
2262,Sleeping Beauty,Les Clark
2262,Sleeping Beauty,Clyde Geronimi
2262,Sleeping Beauty,Eric Larson
2263,True Lies,James Cameron
2264,Star Trek Beyond,Justin Lin
2265,Ocean's Twelve,Steven Soderbergh
2266,The Monuments Men,George Clooney
2267,The Expendables,Sylvester Stallone
2268,The Hateful Eight,Quentin Tarantino
2269,She's Out of My League,Jim Field Smith
2270,Dogville,Lars von Trier
2271,Monsters University,Dan Scanlon
2272,Lost Highway,David Lynch
2273,21,Robert Luketic
2274,Nymphomaniac: Vol. I,Lars von Trier
2275,All About Eve,Joseph L. Mankiewicz
2276,Non-Stop,Jaume Collet-Serra
2277,Léon: The Professional,Luc Besson
2278,21 Jump Street,Phil Lord
2278,21 Jump Street,Christopher Miller
2279,Pretty Woman,Garry Marshall
2280,Game Night,John Francis Daley
2280,Game Night,Jonathan Goldstein
2281,Kung Fu Hustle,Stephen Chow
2282,The Woman in Black,James Watkins
2283,Captain Fantastic,Matt Ross
2284,Sunset Blvd.,Billy Wilder
2285,X2: X-Men United,Bryan Singer
2286,House of Wax,Jaume Collet-Serra
2287,Transporter 3,Olivier Megaton
2288,Dumb and Dumber To,Bobby Farrelly
2288,Dumb and Dumber To,Peter Farrelly
2289,Toy Story,John Lasseter
2290,The Hitchhiker's Guide to the Galaxy,Garth Jennings
2291,Shrek the Third,Chris Miller
2291,Shrek the Third,Raman Hui
2292,Kong: Skull Island,Jordan Vogt-Roberts
2293,Lethal Weapon 2,Richard Donner
2294,The Prestige,Christopher Nolan
2295,50/50,Jonathan Levine
2296,Twister,Jan de Bont
2297,Venom,Ruben Fleischer
2298,Nomadland,Chloé Zhao
2299,10 Cloverfield Lane,Dan Trachtenberg
2300,Cube,Vincenzo Natali
2301,The Jungle Book,Wolfgang Reitherman
2302,How to Train Your Dragon,Dean DeBlois
2302,How to Train Your Dragon,Chris Sanders
2303,Jackie Brown,Quentin Tarantino
2304,Jurassic World,Colin Trevorrow
2305,9,Shane Acker
2306,Jay and Silent Bob Strike Back,Kevin Smith
2307,District 9,Neill Blomkamp
2308,A Time to Kill,Joel Schumacher
2309,A Fish Called Wanda,Charles Crichton
2309,A Fish Called Wanda,John Cleese
2310,Rounders,John Dahl
2311,Doubt,John Patrick Shanley
2312,War Horse,Steven Spielberg
2313,I Am Sam,Jessie Nelson
2314,Extraction,Sam Hargrave
2315,Night of the Living Dead,George A. Romero
2316,The Bucket List,Rob Reiner
2317,The Faculty,Robert Rodriguez
2318,Transformers: Revenge of the Fallen,Michael Bay
2319,The Impossible,J.A. Bayona
2320,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón
2321,Central Intelligence,Rawson Marshall Thurber
2322,Shrek Forever After,Mike Mitchell
2323,The Last Stand,Jee-woon Kim
2324,Strangers on a Train,Alfred Hitchcock
2325,Rocky III,Sylvester Stallone
2326,Final Destination 2,David R. Ellis
2327,The 6th Day,Roger Spottiswoode
2328,Iron Man 2,Jon Favreau
2329,A Quiet Place,John Krasinski
2330,Blue Valentine,Derek Cianfrance
2331,Ghost in the Shell.1,Mamoru Oshii
2332,The Insider,Michael Mann
2333,Serenity,Joss Whedon
2334,Monty Python and the Holy Grail,Terry Gilliam
2334,Monty Python and the Holy Grail,Terry Jones
2335,Pacific Rim,Guillermo del Toro
2336,Saw III,Darren Lynn Bousman
2337,Midnight in Paris,Woody Allen
2338,Trainwreck,Judd Apatow
2339,The Blues Brothers,John Landis
2340,The Transporter,Louis Leterrier
2340,The Transporter,Corey Yuen
2341,The Master,Paul Thomas Anderson
2342,Boyz n the Hood,John Singleton
2343,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski
2344,Immortals,Tarsem Singh
2345,Elysium,Neill Blomkamp
2346,Raya and the Last Dragon,Don Hall
2346,Raya and the Last Dragon,Carlos López Estrada
2346,Raya and the Last Dragon,Paul Briggs
2347,A Star Is Born,Bradley Cooper
2348,Hidden Figures,Theodore Melfi
2349,Iron Man,Jon Favreau
2350,About Schmidt,Alexander Payne
2351,Signs,M. Night Shyamalan
2352,Kindergarten Cop,Ivan Reitman
2353,J. Edgar,Clint Eastwood
2354,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh
2355,Sex and the City,Michael Patrick King
2356,Rush Hour,Brett Ratner
2357,Frozen.1,Chris Buck
2357,Frozen.1,Jennifer Lee
2358,The Curious Case of Benjamin Button,David Fincher
2359,The Book Thief,Brian Percival
2360,Gone in 60 Seconds,Dominic Sena
2361,Zodiac,David Fincher
2362,Along Came Polly,John Hamburg
2363,The Last Samurai,Edward Zwick
2364,Changeling,Clint Eastwood
2365,Gravity,Alfonso Cuarón
2366,Pan's Labyrinth,Guillermo del Toro
2367,The Boondock Saints,Troy Duffy
2368,I Care a Lot,J Blakeson
2369,The Bourne Supremacy,Paul Greengrass
2370,Citizen Kane,Orson Welles
2371,Hush,Mike Flanagan
2372,30 Days of Night,David Slade
2373,The Phantom of the Opera,Joel Schumacher
2374,Divergent,Neil Burger
2375,Lights Out,David F. Sandberg
2376,Back to the Future Part II,Robert Zemeckis
2377,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson
2378,The Lives of Others,Florian Henckel von Donnersmarck
2379,Prince of Persia: The Sands of Time,Mike Newell
2380,Letters from Iwo Jima,Clint Eastwood
2381,Big Daddy,Dennis Dugan
2382,Drag Me to Hell,Sam Raimi
2383,Mr. Bean's Holiday,Steve Bendelack
2384,Insidious: Chapter 2,James Wan
2385,Life of Brian,Terry Jones
2386,Dil Bechara,Mukesh Chhabra
2387,Magic Mike,Steven Soderbergh
2388,Dallas Buyers Club,Jean-Marc Vallée
2389,Austin Powers: International Man of Mystery,Jay Roach
2390,Role Models,David Wain
2391,Mr. Nobody,Jaco Van Dormael
2392,Buried,Rodrigo Cortés
2393,The Patriot,Roland Emmerich
2394,Kung Fu Panda,Mark Osborne
2394,Kung Fu Panda,John Stevenson
2395,A Series of Unfortunate Events,Brad Silberling
2396,Waterworld,Kevin Reynolds
2397,Zoolander,Ben Stiller
2398,The Raid: Redemption,Gareth Evans
2399,T2 Trainspotting,Danny Boyle
2400,Us,Jordan Peele
2401,Memoirs of a Geisha,Rob Marshall
2402,It's a Wonderful Life,Frank Capra
2403,Just Go with It,Dennis Dugan
2404,Cloverfield,Matt Reeves
2405,First Blood,Ted Kotcheff
2406,"Love, Rosie",Christian Ditter
2407,The Men Who Stare at Goats,Grant Heslov
2408,Room,Lenny Abrahamson
2409,A Separation,Asghar Farhadi
2410,Get Out,Jordan Peele
2411,Incredibles 2,Brad Bird
2412,Ant-Man,Peyton Reed
2413,Singin' in the Rain,Stanley Donen
2413,Singin' in the Rain,Gene Kelly
2414,The Interview,Evan Goldberg
2414,The Interview,Seth Rogen
2415,The Aviator,Martin Scorsese
2416,Dune,David Lynch
2417,The Shawshank Redemption,Frank Darabont
2418,Sideways,Alexander Payne
2419,Hook,Steven Spielberg
2420,"O Brother, Where Art Thou?",Joel Coen
2420,"O Brother, Where Art Thou?",Ethan Coen
2421,Dredd,Pete Travis
2422,Fifty Shades of Grey,Sam Taylor-Johnson
2423,Green Book,Peter Farrelly
2424,The Babadook,Jennifer Kent
2425,Vicky Cristina Barcelona,Woody Allen
2426,American Psycho,Mary Harron
2427,Zombieland,Ruben Fleischer
2428,Rope,Alfred Hitchcock
2429,Groundhog Day,Harold Ramis
2430,Lethal Weapon 4,Richard Donner
2431,Rango,Gore Verbinski
2432,Cinderella.1,Kenneth Branagh
2433,Mad Max,George Miller
2434,Commando,Mark L. Lester
2435,Inside Llewyn Davis,Ethan Coen
2435,Inside Llewyn Davis,Joel Coen
2436,Charlie and the Chocolate Factory,Tim Burton
2437,The Old Guard,Gina Prince-Bythewood
2438,Terminator: Dark Fate,Tim Miller
2439,Old Boy,Park Chan-wook
2440,Nausicaä of the Valley of the Wind,Hayao Miyazaki
2441,Pleasantville,Gary Ross
2442,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus
2443,Trading Places,John Landis
2444,A Clockwork Orange,Stanley Kubrick
2445,Analyze This,Harold Ramis
2446,Jumanji: The Next Level,Jake Kasdan
2447,She's the Man,Andy Fickman
2448,The Two Popes,Fernando Meirelles
2449,Unknown,Jaume Collet-Serra
2450,2001: A Space Odyssey,Stanley Kubrick
2451,We Bought a Zoo,Cameron Crowe
2452,Hollow Man,Paul Verhoeven
2453,Blended,Frank Coraci
2454,The Heat,Paul Feig
2455,Gamer,Mark Neveldine
2455,Gamer,Brian Taylor
2456,L.A. Confidential,Curtis Hanson
2457,Little Miss Sunshine,Jonathan Dayton
2457,Little Miss Sunshine,Valerie Faris
2458,The Last King of Scotland,Kevin Macdonald
2459,Road Trip,Todd Phillips
2460,Lawrence of Arabia,David Lean
2461,Hancock,Peter Berg
2462,Evil Dead II,Sam Raimi
2463,Let the Right One In,Tomas Alfredson
2464,A Fistful of Dollars,Sergio Leone
2465,Anchorman 2: The Legend Continues,Adam McKay
2466,Lady Bird,Greta Gerwig
2467,Scent of a Woman,Martin Brest
2468,Love & Other Drugs,Edward Zwick
2469,Chocolat,Lasse Hallström
2470,Some Like It Hot,Billy Wilder
2471,Lucy,Luc Besson
2472,Good Bye Lenin!,Wolfgang Becker
2473,Tomb Raider,Roar Uthaug
2474,Guardians of the Galaxy,James Gunn
2475,In the Mood for Love,Kar-Wai Wong
2476,Identity,James Mangold
2477,Oz the Great and Powerful,Sam Raimi
2478,Allied,Robert Zemeckis
2479,Fear and Loathing in Las Vegas,Terry Gilliam
2480,Carnage,Roman Polanski
2481,The Nice Guys,Shane Black
2482,Max Payne,John Moore
2483,Coco,Lee Unkrich
2483,Coco,Adrian Molina
2484,The King's Speech,Tom Hooper
2485,What Lies Beneath,Robert Zemeckis
2486,No Time to Die,Cary Joji Fukunaga
2487,The Mummy Returns,Stephen Sommers
2488,Roman Holiday,William Wyler
2489,Brokeback Mountain,Ang Lee
2490,The Platform,Galder Gaztelu-Urrutia
2491,The Others,Alejandro Amenábar
2492,Total Recall,Len Wiseman
2493,Jupiter Ascending,Lana Wachowski
2493,Jupiter Ascending,Lilly Wachowski
2494,The Matrix,Lana Wachowski
2494,The Matrix,Lilly Wachowski
2495,The Witch,Robert Eggers
2496,Phone Booth,Joel Schumacher
2497,Labyrinth,Jim Henson
2498,X-Men: Dark Phoenix,Simon Kinberg
2499,Riddick,David Twohy
2500,Invictus,Clint Eastwood
2501,Alita: Battle Angel,Robert Rodriguez
2502,Catch Me If You Can,Steven Spielberg
2503,Trainspotting,Danny Boyle
2504,What We Do in the Shadows,Jemaine Clement
2504,What We Do in the Shadows,Taika Waititi
2505,My Cousin Vinny,Jonathan Lynn
2506,The Ugly Truth,Robert Luketic
2507,Vantage Point,Pete Travis
2508,To Kill a Mockingbird,Robert Mulligan
2509,Brüno,Larry Charles
2510,Robots,Chris Wedge
2510,Robots,Carlos Saldanha
2511,Transformers,Michael Bay
2512,Despicable Me 2,Pierre Coffin
2512,Despicable Me 2,Chris Renaud
2513,Vice,Adam McKay
2514,Taken,Pierre Morel
2515,Get Him to the Greek,Nicholas Stoller
2516,Rise of the Planet of the Apes,Rupert Wyatt
2517,The Matrix Revolutions,Lana Wachowski
2517,The Matrix Revolutions,Lilly Wachowski
2518,Kingsman: The Golden Circle,Matthew Vaughn
2519,Layer Cake,Matthew Vaughn
2520,Ender's Game,Gavin Hood
2521,Being John Malkovich,Spike Jonze
2522,Back to the Future,Robert Zemeckis
2523,The Bourne Ultimatum,Paul Greengrass
2524,R.I.P.D.,Robert Schwentke
2525,X-Men: The Last Stand,Brett Ratner
2526,Clash of the Titans,Louis Leterrier
2527,Insidious,James Wan
2528,Puss in Boots,Chris Miller
2529,Hitman,Xavier Gens
2530,One Flew Over the Cuckoo's Nest,Milos Forman
2531,Rocky V,John G. Avildsen
2532,Valerian and the City of a Thousand Planets,Luc Besson
2533,Stuart Little,Rob Minkoff
2534,The Beach,Danny Boyle
2535,Transporter 2,Louis Leterrier
2536,The Handmaiden,Park Chan-wook
2537,The Fifth Element,Luc Besson
2538,The Wizard of Oz,Victor Fleming
2538,The Wizard of Oz,George Cukor
2538,The Wizard of Oz,Mervyn LeRoy
2539,Incendies,Denis Villeneuve
2540,A Beautiful Mind,Ron Howard
2541,Cars,John Lasseter
2541,Cars,Joe Ranft
2542,Evan Almighty,Tom Shadyac
2543,Chicago,Rob Marshall
2544,Mud,Jeff Nichols
2545,Moonlight,Barry Jenkins
2546,The Parent Trap,Nancy Meyers
2547,Ponyo,Hayao Miyazaki
2548,Mary and Max,Adam Elliot
2549,Pitch Perfect,Jason Moore
2550,Public Enemies,Michael Mann
2551,Sicario,Denis Villeneuve
2552,The Godfather,Francis Ford Coppola
2553,Dirty Harry,Don Siegel
2553,Dirty Harry,Clint Eastwood
2554,Madagascar: Escape 2 Africa,Eric Darnell
2554,Madagascar: Escape 2 Africa,Tom McGrath
2555,American Wedding,Jesse Dylan
2556,Meet the Parents,Jay Roach
2557,Jack the Giant Slayer,Bryan Singer
2558,Donnie Darko,Richard Kelly
2559,I Now Pronounce You Chuck & Larry,Dennis Dugan
2560,RoboCop,José Padilha
2561,"I Love You, Man",John Hamburg
2562,Twins,Ivan Reitman
2563,Maze Runner: The Scorch Trials,Wes Ball
2564,Spy,Paul Feig
2565,The Treasure of the Sierra Madre,John Huston
2566,Logan,James Mangold
2567,The Crow,Alex Proyas
2568,Deep Impact,Mimi Leder
2569,The Ninth Gate,Roman Polanski
2570,Machete,Ethan Maniquis
2570,Machete,Robert Rodriguez
2571,Robin Hood.2,Ridley Scott
2572,Annabelle,John R. Leonetti
2573,The Golden Compass,Chris Weitz
2574,Get Smart,Peter Segal
2575,Sin City,Frank Miller
2575,Sin City,Quentin Tarantino
2575,Sin City,Robert Rodriguez
2576,Click,Frank Coraci
2577,Prisoners,Denis Villeneuve
2578,The Fault in Our Stars,Josh Boone
2579,Spider-Man: Into the Spider-Verse,Bob Persichetti
2579,Spider-Man: Into the Spider-Verse,Peter Ramsey
2579,Spider-Man: Into the Spider-Verse,Rodney Rothman
2580,Bolt,Byron Howard
2580,Bolt,Chris Williams
2581,Metropolis,Fritz Lang
2582,National Treasure,Jon Turteltaub
2583,Warm Bodies,Jonathan Levine
2584,The Punisher,Jonathan Hensleigh
2585,Carrie,Kimberly Peirce
2586,You've Got Mail,Nora Ephron
2587,Bram Stoker's Dracula,Francis Ford Coppola
2588,Batman,Tim Burton
2589,Dazed and Confused,Richard Linklater
2590,The Godfather: Part II,Francis Ford Coppola
2591,Bridget Jones's Diary,Sharon Maguire
2592,Hercules.1,Ron Clements
2592,Hercules.1,John Musker
2593,The Maltese Falcon,John Huston
2594,REC,Jaume Balagueró
2594,REC,Paco Plaza
2595,Australia,Baz Luhrmann
2596,The Conjuring,James Wan
2597,The World Is Not Enough,Michael Apted
2598,The Book of Eli,Albert Hughes
2598,The Book of Eli,Allen Hughes
2599,Legends of the Fall,Edward Zwick
2600,The Power of the Dog,Jane Campion
2601,The Chronicles of Riddick,David Twohy
2602,The Killing of a Sacred Deer,Yorgos Lanthimos
2603,Salt,Phillip Noyce
2604,Madagascar 3: Europe's Most Wanted,Eric Darnell
2604,Madagascar 3: Europe's Most Wanted,Tom McGrath
2604,Madagascar 3: Europe's Most Wanted,Conrad Vernon
2605,Die Hard with a Vengeance,John McTiernan
2606,City Lights,Charles Chaplin
2607,Jerry Maguire,Cameron Crowe
2608,Jack Reacher,Christopher McQuarrie
2609,The Hunger Games: Mockingjay - Part 1,Francis Lawrence
2610,Fantastic Mr. Fox,Wes Anderson
2611,The Firm,Sydney Pollack
2612,Inside Out,Pete Docter
2612,Inside Out,Ronnie Del Carmen
2613,17 Again,Burr Steers
2614,Her,Spike Jonze
2615,Men in Black 3,Barry Sonnenfeld
2616,Silver Linings Playbook,David O. Russell
2617,Valkyrie,Bryan Singer
2618,The Hangover Part II,Todd Phillips
2619,Batman Begins,Christopher Nolan
2620,The Deer Hunter,Michael Cimino
2621,Vertigo,Alfred Hitchcock
2622,Southpaw,Antoine Fuqua
2623,Hotel Rwanda,Terry George
2624,Dark Shadows,Tim Burton
2625,Lady and the Tramp,Clyde Geronimi
2625,Lady and the Tramp,Wilfred Jackson
2625,Lady and the Tramp,Hamilton Luske
2626,Poltergeist.1,Tobe Hooper
2627,The Fugitive,Andrew Davis
2628,Apocalypto,Mel Gibson
2629,Life Is Beautiful,Roberto Benigni
2630,The Orphanage,J.A. Bayona
2631,The Break-Up,Peyton Reed
2632,Killer Elite,Gary McKendry
2633,Tenet,Christopher Nolan
2634,High Fidelity,Stephen Frears
2635,Constantine,Francis Lawrence
2636,The Blair Witch Project,Daniel Myrick
2636,The Blair Witch Project,Eduardo Sánchez
2637,Teenage Mutant Ninja Turtles.1,Jonathan Liebesman
